Hardware,Network,Width mult.,Input res.,Video res.,Frame rate,Hardware Label,Label
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,96,360,16.74653956,i5,MobileNetV2_0.35_96_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,128,360,15.19353548,i5,MobileNetV2_0.35_128_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,160,360,17.85573044,i5,MobileNetV2_0.35_160_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,192,360,17.88933748,i5,MobileNetV2_0.35_192_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,224,360,18.70786167,i5,MobileNetV2_0.35_224_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,96,360,17.91770942,i5,MobileNetV2_0.5_96_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,128,360,18.31395999,i5,MobileNetV2_0.5_128_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,160,360,18.05857042,i5,MobileNetV2_0.5_160_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,192,360,14.71820848,i5,MobileNetV2_0.5_192_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,224,360,18.97041842,i5,MobileNetV2_0.5_224_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,96,360,18.42371655,i5,MobileNetV2_0.75_96_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,128,360,17.39315127,i5,MobileNetV2_0.75_128_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,160,360,17.82764903,i5,MobileNetV2_0.75_160_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,192,360,18.76761218,i5,MobileNetV2_0.75_192_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,224,360,17.73989719,i5,MobileNetV2_0.75_224_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,96,360,13.8154345,i5,MobileNetV2_1_96_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,128,360,18.60918548,i5,MobileNetV2_1_128_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,160,360,17.78082823,i5,MobileNetV2_1_160_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,192,360,17.81922796,i5,MobileNetV2_1_192_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,224,360,18.91469964,i5,MobileNetV2_1_224_360_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (large minimalistic),1,224,360,17.34763348,i5,MobileNetV3 (large minimalistic)_1_224_360_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (large),0.75,224,360,17.56924253,i5,MobileNetV3 (large)_0.75_224_360_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (large),1,224,360,15.88905728,i5,MobileNetV3 (large)_1_224_360_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (small minimalistic),1,224,360,27.54139884,i5,MobileNetV3 (small minimalistic)_1_224_360_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (small),0.75,224,360,34.33136955,i5,MobileNetV3 (small)_0.75_224_360_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (small),1,224,360,16.83643245,i5,MobileNetV3 (small)_1_224_360_i5
i5-4210U@1.70GHz x 4,TinyYOLOv3,,,360,1.7,i5,TinyYOLOv3_360_i5
i5-4210U@1.70GHz x 4,TinyYOLOv4,,,360,1.4,i5,TinyYOLOv4_360_i5
i5-4210U@1.70GHz x 4,YOLOv3,,,360,0.2,i5,YOLOv3_360_i5
i5-4210U@1.70GHz x 4,YOLOv4,,,360,0.2,i5,YOLOv4_360_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,96,480,14.01406593,i5,MobileNetV2_0.35_96_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,128,480,14.9120366,i5,MobileNetV2_0.35_128_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,160,480,17.48661345,i5,MobileNetV2_0.35_160_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,192,480,17.58179376,i5,MobileNetV2_0.35_192_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,224,480,18.24397793,i5,MobileNetV2_0.35_224_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,96,480,17.48564525,i5,MobileNetV2_0.5_96_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,128,480,17.8549153,i5,MobileNetV2_0.5_128_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,160,480,17.48269317,i5,MobileNetV2_0.5_160_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,192,480,15.94826634,i5,MobileNetV2_0.5_192_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,224,480,18.40920643,i5,MobileNetV2_0.5_224_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,96,480,17.94132444,i5,MobileNetV2_0.75_96_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,128,480,17.10573075,i5,MobileNetV2_0.75_128_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,160,480,17.51605719,i5,MobileNetV2_0.75_160_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,192,480,18.46064164,i5,MobileNetV2_0.75_192_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,224,480,17.28231596,i5,MobileNetV2_0.75_224_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,96,480,13.30848086,i5,MobileNetV2_1_96_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,128,480,18.07333272,i5,MobileNetV2_1_128_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,160,480,17.33655384,i5,MobileNetV2_1_160_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,192,480,17.38278936,i5,MobileNetV2_1_192_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,224,480,18.60253917,i5,MobileNetV2_1_224_480_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (large minimalistic),1,224,480,17.04081805,i5,MobileNetV3 (large minimalistic)_1_224_480_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (large),0.75,224,480,16.91888944,i5,MobileNetV3 (large)_0.75_224_480_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (large),1,224,480,15.35131749,i5,MobileNetV3 (large)_1_224_480_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (small minimalistic),1,224,480,26.12916112,i5,MobileNetV3 (small minimalistic)_1_224_480_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (small),0.75,224,480,31.44231561,i5,MobileNetV3 (small)_0.75_224_480_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (small),1,224,480,16.26335379,i5,MobileNetV3 (small)_1_224_480_i5
i5-4210U@1.70GHz x 4,TinyYOLOv3,,,480,1.7,i5,TinyYOLOv3_480_i5
i5-4210U@1.70GHz x 4,TinyYOLOv4,,,480,1.4,i5,TinyYOLOv4_480_i5
i5-4210U@1.70GHz x 4,YOLOv3,,,480,0.2,i5,YOLOv3_480_i5
i5-4210U@1.70GHz x 4,YOLOv4,,,480,0.2,i5,YOLOv4_480_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,96,720,11.23097102,i5,MobileNetV2_0.35_96_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,128,720,12.60826997,i5,MobileNetV2_0.35_128_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,160,720,14.38572408,i5,MobileNetV2_0.35_160_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,192,720,14.65710212,i5,MobileNetV2_0.35_192_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,224,720,15.54736809,i5,MobileNetV2_0.35_224_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,96,720,14.14251963,i5,MobileNetV2_0.5_96_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,128,720,15.13929205,i5,MobileNetV2_0.5_128_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,160,720,14.27028802,i5,MobileNetV2_0.5_160_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,192,720,12.66865142,i5,MobileNetV2_0.5_192_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,224,720,15.82468795,i5,MobileNetV2_0.5_224_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,96,720,14.99220566,i5,MobileNetV2_0.75_96_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,128,720,14.53378353,i5,MobileNetV2_0.75_128_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,160,720,14.92938151,i5,MobileNetV2_0.75_160_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,192,720,15.6153074,i5,MobileNetV2_0.75_192_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,224,720,14.69549108,i5,MobileNetV2_0.75_224_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,96,720,10.66480418,i5,MobileNetV2_1_96_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,128,720,15.21390164,i5,MobileNetV2_1_128_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,160,720,14.3510071,i5,MobileNetV2_1_160_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,192,720,13.94543689,i5,MobileNetV2_1_192_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,224,720,15.80484511,i5,MobileNetV2_1_224_720_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (large minimalistic),1,224,720,14.50748129,i5,MobileNetV3 (large minimalistic)_1_224_720_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (large),0.75,224,720,14.21501452,i5,MobileNetV3 (large)_0.75_224_720_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (large),1,224,720,11.61678189,i5,MobileNetV3 (large)_1_224_720_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (small minimalistic),1,224,720,18.23701635,i5,MobileNetV3 (small minimalistic)_1_224_720_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (small),0.75,224,720,23.67201084,i5,MobileNetV3 (small)_0.75_224_720_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (small),1,224,720,13.37172859,i5,MobileNetV3 (small)_1_224_720_i5
i5-4210U@1.70GHz x 4,TinyYOLOv3,,,720,1.7,i5,TinyYOLOv3_720_i5
i5-4210U@1.70GHz x 4,TinyYOLOv4,,,720,1.4,i5,TinyYOLOv4_720_i5
i5-4210U@1.70GHz x 4,YOLOv3,,,720,0.2,i5,YOLOv3_720_i5
i5-4210U@1.70GHz x 4,YOLOv4,,,720,0.2,i5,YOLOv4_720_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,96,1080,10.00359893,i5,MobileNetV2_0.35_96_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,128,1080,9.884786641,i5,MobileNetV2_0.35_128_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,160,1080,11.28013436,i5,MobileNetV2_0.35_160_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,192,1080,11.49343481,i5,MobileNetV2_0.35_192_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.35,224,1080,12.7302179,i5,MobileNetV2_0.35_224_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,96,1080,10.94051591,i5,MobileNetV2_0.5_96_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,128,1080,12.33343071,i5,MobileNetV2_0.5_128_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,160,1080,10.89626525,i5,MobileNetV2_0.5_160_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,192,1080,8.615079211,i5,MobileNetV2_0.5_192_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.5,224,1080,12.71879092,i5,MobileNetV2_0.5_224_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,96,1080,11.55154401,i5,MobileNetV2_0.75_96_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,128,1080,11.88223155,i5,MobileNetV2_0.75_128_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,160,1080,12.29245796,i5,MobileNetV2_0.75_160_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,192,1080,12.70671623,i5,MobileNetV2_0.75_192_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,0.75,224,1080,11.73902078,i5,MobileNetV2_0.75_224_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,96,1080,8.139828222,i5,MobileNetV2_1_96_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,128,1080,12.15409284,i5,MobileNetV2_1_128_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,160,1080,11.25034229,i5,MobileNetV2_1_160_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,192,1080,9.029339136,i5,MobileNetV2_1_192_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV2,1,224,1080,12.57121615,i5,MobileNetV2_1_224_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (large minimalistic),1,224,1080,11.65397637,i5,MobileNetV3 (large minimalistic)_1_224_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (large),0.75,224,1080,11.19049918,i5,MobileNetV3 (large)_0.75_224_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (large),1,224,1080,8.330239244,i5,MobileNetV3 (large)_1_224_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (small minimalistic),1,224,1080,12.6355741,i5,MobileNetV3 (small minimalistic)_1_224_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (small),0.75,224,1080,16.48704749,i5,MobileNetV3 (small)_0.75_224_1080_i5
i5-4210U@1.70GHz x 4,MobileNetV3 (small),1,224,1080,10.31198212,i5,MobileNetV3 (small)_1_224_1080_i5
i5-4210U@1.70GHz x 4,TinyYOLOv3,,,1080,1.7,i5,TinyYOLOv3_1080_i5
i5-4210U@1.70GHz x 4,TinyYOLOv4,,,1080,1.4,i5,TinyYOLOv4_1080_i5
i5-4210U@1.70GHz x 4,YOLOv3,,,1080,0.2,i5,YOLOv3_1080_i5
i5-4210U@1.70GHz x 4,YOLOv4,,,1080,0.2,i5,YOLOv4_1080_i5
Tesla V100,MobileNetV2,0.35,96,360,21.54106473,V100,MobileNetV2_0.35_96_360_V100
Tesla V100,MobileNetV2,0.35,128,360,25.58943493,V100,MobileNetV2_0.35_128_360_V100
Tesla V100,MobileNetV2,0.35,160,360,23.44623959,V100,MobileNetV2_0.35_160_360_V100
Tesla V100,MobileNetV2,0.35,192,360,23.16213959,V100,MobileNetV2_0.35_192_360_V100
Tesla V100,MobileNetV2,0.35,224,360,25.7185388,V100,MobileNetV2_0.35_224_360_V100
Tesla V100,MobileNetV2,0.5,96,360,22.58722167,V100,MobileNetV2_0.5_96_360_V100
Tesla V100,MobileNetV2,0.5,128,360,25.10271287,V100,MobileNetV2_0.5_128_360_V100
Tesla V100,MobileNetV2,0.5,160,360,22.73050135,V100,MobileNetV2_0.5_160_360_V100
Tesla V100,MobileNetV2,0.5,192,360,21.03018378,V100,MobileNetV2_0.5_192_360_V100
Tesla V100,MobileNetV2,0.5,224,360,25.70010601,V100,MobileNetV2_0.5_224_360_V100
Tesla V100,MobileNetV2,0.75,96,360,23.70375269,V100,MobileNetV2_0.75_96_360_V100
Tesla V100,MobileNetV2,0.75,128,360,25.74602212,V100,MobileNetV2_0.75_128_360_V100
Tesla V100,MobileNetV2,0.75,160,360,25.85015835,V100,MobileNetV2_0.75_160_360_V100
Tesla V100,MobileNetV2,0.75,192,360,25.35161174,V100,MobileNetV2_0.75_192_360_V100
Tesla V100,MobileNetV2,0.75,224,360,24.06054922,V100,MobileNetV2_0.75_224_360_V100
Tesla V100,MobileNetV2,1,96,360,22.79291803,V100,MobileNetV2_1_96_360_V100
Tesla V100,MobileNetV2,1,128,360,24.56863257,V100,MobileNetV2_1_128_360_V100
Tesla V100,MobileNetV2,1,160,360,23.52336632,V100,MobileNetV2_1_160_360_V100
Tesla V100,MobileNetV2,1,192,360,22.4805516,V100,MobileNetV2_1_192_360_V100
Tesla V100,MobileNetV2,1,224,360,25.60121089,V100,MobileNetV2_1_224_360_V100
Tesla V100,MobileNetV3 (large minimalistic),1,224,360,18.9907678,V100,MobileNetV3 (large minimalistic)_1_224_360_V100
Tesla V100,MobileNetV3 (large),0.75,224,360,18.37303832,V100,MobileNetV3 (large)_0.75_224_360_V100
Tesla V100,MobileNetV3 (large),1,224,360,16.76028862,V100,MobileNetV3 (large)_1_224_360_V100
Tesla V100,MobileNetV3 (small minimalistic),1,224,360,24.69374204,V100,MobileNetV3 (small minimalistic)_1_224_360_V100
Tesla V100,MobileNetV3 (small),0.75,224,360,25.36771921,V100,MobileNetV3 (small)_0.75_224_360_V100
Tesla V100,MobileNetV3 (small),1,224,360,18.09170561,V100,MobileNetV3 (small)_1_224_360_V100
Tesla V100,TinyYOLOv3,,,360,19.7,V100,TinyYOLOv3_360_V100
Tesla V100,TinyYOLOv4,,,360,20.1,V100,TinyYOLOv4_360_V100
Tesla V100,YOLOv3,,,360,23.6,V100,YOLOv3_360_V100
Tesla V100,YOLOv4,,,360,19.5,V100,YOLOv4_360_V100
Tesla V100,MobileNetV2,0.35,96,480,21.15756237,V100,MobileNetV2_0.35_96_480_V100
Tesla V100,MobileNetV2,0.35,128,480,25.61777746,V100,MobileNetV2_0.35_128_480_V100
Tesla V100,MobileNetV2,0.35,160,480,23.7517367,V100,MobileNetV2_0.35_160_480_V100
Tesla V100,MobileNetV2,0.35,192,480,23.10319999,V100,MobileNetV2_0.35_192_480_V100
Tesla V100,MobileNetV2,0.35,224,480,25.95614224,V100,MobileNetV2_0.35_224_480_V100
Tesla V100,MobileNetV2,0.5,96,480,22.52252538,V100,MobileNetV2_0.5_96_480_V100
Tesla V100,MobileNetV2,0.5,128,480,25.27570348,V100,MobileNetV2_0.5_128_480_V100
Tesla V100,MobileNetV2,0.5,160,480,22.79970767,V100,MobileNetV2_0.5_160_480_V100
Tesla V100,MobileNetV2,0.5,192,480,21.06177951,V100,MobileNetV2_0.5_192_480_V100
Tesla V100,MobileNetV2,0.5,224,480,25.90068164,V100,MobileNetV2_0.5_224_480_V100
Tesla V100,MobileNetV2,0.75,96,480,23.80247831,V100,MobileNetV2_0.75_96_480_V100
Tesla V100,MobileNetV2,0.75,128,480,26.15547319,V100,MobileNetV2_0.75_128_480_V100
Tesla V100,MobileNetV2,0.75,160,480,25.87076213,V100,MobileNetV2_0.75_160_480_V100
Tesla V100,MobileNetV2,0.75,192,480,25.87573952,V100,MobileNetV2_0.75_192_480_V100
Tesla V100,MobileNetV2,0.75,224,480,24.11711161,V100,MobileNetV2_0.75_224_480_V100
Tesla V100,MobileNetV2,1,96,480,22.41198826,V100,MobileNetV2_1_96_480_V100
Tesla V100,MobileNetV2,1,128,480,24.885955,V100,MobileNetV2_1_128_480_V100
Tesla V100,MobileNetV2,1,160,480,23.25284006,V100,MobileNetV2_1_160_480_V100
Tesla V100,MobileNetV2,1,192,480,22.34368238,V100,MobileNetV2_1_192_480_V100
Tesla V100,MobileNetV2,1,224,480,25.99845243,V100,MobileNetV2_1_224_480_V100
Tesla V100,MobileNetV3 (large minimalistic),1,224,480,19.23328094,V100,MobileNetV3 (large minimalistic)_1_224_480_V100
Tesla V100,MobileNetV3 (large),0.75,224,480,18.48323228,V100,MobileNetV3 (large)_0.75_224_480_V100
Tesla V100,MobileNetV3 (large),1,224,480,16.66829037,V100,MobileNetV3 (large)_1_224_480_V100
Tesla V100,MobileNetV3 (small minimalistic),1,224,480,25.31292138,V100,MobileNetV3 (small minimalistic)_1_224_480_V100
Tesla V100,MobileNetV3 (small),0.75,224,480,25.23646912,V100,MobileNetV3 (small)_0.75_224_480_V100
Tesla V100,MobileNetV3 (small),1,224,480,17.9880607,V100,MobileNetV3 (small)_1_224_480_V100
Tesla V100,TinyYOLOv3,,,480,19.8,V100,TinyYOLOv3_480_V100
Tesla V100,TinyYOLOv4,,,480,23.4,V100,TinyYOLOv4_480_V100
Tesla V100,YOLOv3,,,480,20.3,V100,YOLOv3_480_V100
Tesla V100,YOLOv4,,,480,20.1,V100,YOLOv4_480_V100
Tesla V100,MobileNetV2,0.35,96,720,18.43308838,V100,MobileNetV2_0.35_96_720_V100
Tesla V100,MobileNetV2,0.35,128,720,22.94636902,V100,MobileNetV2_0.35_128_720_V100
Tesla V100,MobileNetV2,0.35,160,720,21.67625583,V100,MobileNetV2_0.35_160_720_V100
Tesla V100,MobileNetV2,0.35,192,720,21.17760843,V100,MobileNetV2_0.35_192_720_V100
